Date,High,Low,Close
21-11-2025,26246.650390625,25856.19921875,26068.150390625
28-11-2025,26310.44921875,25842.94921875,26202.94921875
05-12-2025,26325.80078125,25891,26186.44921875
12-12-2025,26178.69921875,25693.25,26046.94921875
19-12-2025,26047.150390625,25726.30078125,25966.400390625
26-12-2025,26236.400390625,26008.599609375,26042.30078125
02-01-2026,26340,25878,26328.55078125
09-01-2026,26373.19921875,25623,25683.30078125
16-01-2026,25899.80078125,25473.400390625,25694.349609375
23-01-2026,25653.30078125,24919.80078125,25048.650390625
30-01-2026,25458.150390625,24932.55078125,25320.650390625
06-02-2026,26341.19921875,24679.400390625,25693.69921875
13-02-2026,26009.400390625,25444.30078125,25471.099609375
20-02-2026,25885.30078125,25372.69921875,25571.25
27-02-2026,25771.44921875,25141.30078125,25178.650390625
06-03-2026,24989.349609375,24305.400390625,24450.44921875
13-03-2026,24303.80078125,23112,23151.099609375
20-03-2026,23862.25,22930.349609375,23114.5
27-03-2026,23465.349609375,22471.25,22819.599609375
02-04-2026,22941.30078125,22182.55078125,22713.099609375
10-04-2026,24074.05078125,22542.94921875,24050.599609375
17-04-2026,24400.94921875,23555.599609375,24353.55078125
24-04-2026,24601.69921875,23813.650390625,23897.94921875
30-04-2026,24334.69921875,23796.849609375,23997.55078125
08-05-2026,24482.099609375,23882.05078125,24176.150390625
15-05-2026,23997.44921875,23262.55078125,23643.5
22-05-2026,23859.900390625,23317.099609375,23719.30078125
29-05-2026,24089.80078125,23484.75,23547.75
05-06-2026,23733.69921875,23151.5,23366.69921875
12-06-2026,23645.349609375,23070.150390625,23622.900390625
19-06-2026,24189.25,23817.80078125,24013.099609375
25-06-2026,24261.599609375,23784.94921875,24056
02-07-2026,24159.44921875,23829.19921875,24124.099609375
